"PHP"

"Версия PHP";"CGI";"Отображение";
"5.2.17 (alt)";"Используется в режиме CGI";"installed; Установлена";
"5.3.29 (alt)";"Используется в режиме CGI";"installed; Установлена";
"5.3.29 (alt)";"Используется в режиме CGI";"installed; Установлена";
"5.3.29 (alt)";"Используется в режиме CGI";"installed; Установлена";
"5.4.45 (alt)";"Используется в режиме CGI";"installed; Установлена";
"5.4.45 (alt)";"Используется в режиме CGI";"installed; Установлена";
"5.4.45 (alt)";"Используется в режиме CGI";"installed; Установлена";
"5.5.38 (alt)";"Используется в режиме CGI";"installed; Установлена";
"5.5.38 (alt)";"Используется в режиме CGI";"installed; Установлена";
"5.6.40 (alt)";"Используется в режиме CGI";"installed; Установлена";
"5.6.40 (alt)";"Используется в режиме CGI";"installed; Установлена";
"7.0.33 (alt)";"Используется в режиме CGI";"installed; Установлена";
"7.0.33 (alt)";"Используется в режиме CGI";"installed; Установлена";
"7.1.33 (alt)";"Используется в режиме CGI";"installed; Установлена";
"7.1.33 (alt)";"Используется в режиме CGI";"installed; Установлена";
"7.2.34 (alt)";"Используется в режиме CGI";"installed; Установлена";
"7.2.34 (alt)";"Используется в режиме CGI";"installed; Установлена";
"7.3.33 (alt)";"Используется в режиме CGI";"installed; Установлена";
"7.3.33 (alt)";"Используется в режиме CGI";"installed; Установлена";
"7.4.33 (alt)";"Используется в режиме CGI";"installed; Установлена";
"7.4.33 (alt)";"Используется в режиме CGI";"installed; Установлена";
"8.0.30 (alt)";"Используется в режиме CGI";"installed; Установлена";
"8.1.32 (alt)";"Используется в режиме CGI";"installed; Установлена";
"8.1.32 (alt)";"Используется в режиме CGI";"installed; Установлена";
"8.2.25 (native)";"Используется в режиме CGI";"";
"8.2.28 (alt)";"Используется в режиме CGI";"installed; Установлена";
"8.2.28 (alt)";"Используется в режиме CGI";"installed; Установлена";
"8.3.21 (alt)";"Используется в режиме CGI";"installed; Установлена";
"8.3.21 (alt)";"Используется в режиме CGI";"installed; Установлена";
"8.4.7 (alt)";"Используется в режиме CGI";"installed; Установлена";
